	domain	reference	fpocket	drug score	prank rescore	buriedness
10878	Q8WWQ0_PF00439_1325_1409	5S9G_A	fpocket7	0.011	6.1362	17
10879	Q8WWQ8_PF02469_2333_2449	5N86_A	fpocket2	0.005	7.575	13
10880	Q8WWQ8_PF02469_2333_2449	5N86_A	fpocket3	0.53	3.6145	25
10881	Q8WWV3_PF08240_71_168	2VN8_A	fpocket2	0.157	8.4417	19
10882	Q8WWV3_PF08240_71_168	2VN8_A	fpocket4	0.827	6.4422	19
10883	Q8WWV3_PF13602_247_393	2VN8_A	fpocket2	0.79	6.7765	16
10884	Q8WWV3_PF13602_247_393	2VN8_A	fpocket1	0.135	5.892	17
10885	Q8WWW0_PF16517_371_410	4OH8_B	fpocket1	0.075	0.9498	10
10886	Q8WWW0_PF16517_371_410	4OH8_B	fpocket5	0.001	0.9364	10
10887	Q8WWZ1_PF00340_32_148	5BOW_A	fpocket1	0.219	7.9525	17
10888	Q8WWZ1_PF00340_32_148	5BOW_A	fpocket4	0.001	3.1835	17
10889	Q8WX93_PF07679_1001_1092	2DM2_A	fpocket1	0.389	4.7241	17
10890	Q8WX93_PF07679_1001_1092	2DM2_A	fpocket2	0.015	2.9909	16
10891	Q8WX93_PF07679_1135_1225	2DM3_A	fpocket1	0.126	3.2003	13
10892	Q8WX93_PF07679_1135_1225	2DM3_A	fpocket2	0.002	1.5077	17
10893	Q8WX94_PF02758_9_85	2KM6_A	fpocket1	0.228	2.6938	17
10894	Q8WX94_PF02758_9_85	2KM6_A	fpocket3	0.0	1.2615	10
10895	Q8WXC3_PF02758_7_83	4QOB_A	fpocket9	0.001	3.4178	13
10896	Q8WXC3_PF02758_7_83	4QOB_A	fpocket2	0.271	1.8045	18
10897	Q8WXD9_PF00536_470_533	3SEI_A	fpocket1	0.01	1.9513	14
10898	Q8WXD9_PF00536_470_533	3SEI_A	fpocket2	0.0	1.9082	13
10899	Q8WXD9_PF00536_540_603	3SEI_A	fpocket3	0.35	0.935	15
10900	Q8WXD9_PF00536_540_603	3SEI_A	fpocket2	0.003	0.848	12
10901	Q8WXD9_PF07653_285_343	7ATY_A	fpocket5	0.0	1.9572	11
10902	Q8WXD9_PF07653_285_343	7ATY_A	fpocket1	0.226	1.7371	16
10903	Q8WXE0_PF00536_487_550	4IS7_A	fpocket2	0.008	4.3311	11
10904	Q8WXE0_PF00536_487_550	4IS7_A	fpocket3	0.003	4.041	15
10905	Q8WXE0_PF00536_556_620	4IS7_A	fpocket4	0.0	1.5991	13
10906	Q8WXE0_PF00536_556_620	4IS7_A	fpocket3	0.015	1.0684	12
10907	Q8WXE0_PF07653_285_345	2KE9_A	fpocket2	0.407	2.3847	12
10908	Q8WXE0_PF07653_285_345	2KE9_A	fpocket1	0.001	2.1571	12
10909	Q8WXF1_PF00076_158_223	3SDE_A	fpocket3	0.109	5.4916	15
10910	Q8WXF1_PF00076_158_223	3SDE_A	fpocket6	0.0	1.578	15
10911	Q8WXF1_PF00076_84_148	3SDE_A	fpocket1	0.748	0.8488	23
10912	Q8WXF1_PF00076_84_148	3SDE_A	fpocket5	0.001	0.6392	14
10913	Q8WXF1_PF08075_229_280	3SDE_A	fpocket1	0.706	2.7072	16
10914	Q8WXF1_PF08075_229_280	3SDE_A	fpocket3	0.116	1.2445	7
10915	Q8WXF7_PF02263_43_314	6B9F_A	fpocket17	0.0	22.9067	20
10916	Q8WXF7_PF02263_43_314	6B9F_A	fpocket1	0.015	20.7545	20
10917	Q8WXG8_PF01023_5_49	5HYD_A	fpocket1	0.465	1.417	16
10918	Q8WXH5_PF00017_286_364	2IZV_A	fpocket1	0.477	9.5836	16
10919	Q8WXH5_PF00017_286_364	2IZV_A	fpocket4	0.001	5.8579	18
10920	Q8WXH5_PF07525_385_420	2IZV_A	fpocket1	0.316	2.3888	18
10921	Q8WXI2_PF00536_9_73	3BS5_B	fpocket2	0.002	1.4447	12
10922	Q8WXI2_PF00536_9_73	3BS5_B	fpocket3	0.004	1.0818	15
10923	Q8WXI8_PF00059_101_209	3WHD_A	fpocket4	0.005	4.7835	17
10924	Q8WXI8_PF00059_101_209	3WHD_A	fpocket7	0.0	2.48	15
10925	Q8WY64_PF00373_82_190	6QLY_A	fpocket1	0.745	13.6232	16
10926	Q8WY64_PF00373_82_190	6QLY_A	fpocket5	0.0	2.8447	14
10927	Q8WY64_PF09379_5_68	6QLY_A	fpocket2	0.171	3.757	18
10928	Q8WY64_PF09379_5_68	6QLY_A	fpocket6	0.476	3.6781	16
10929	Q8WY64_PF13920_383_428	2YHO_A	fpocket1	0.0	0.94	13
10930	Q8WY91_PF08768_421_574	3IA8_A	fpocket1	0.809	38.3638	19
10931	Q8WY91_PF08768_421_574	3IA8_A	fpocket11	0.002	6.6732	11
10932	Q8WYA1_PF14598_368_477	2KDK_A	fpocket2	0.008	4.8062	14
10933	Q8WYA1_PF14598_368_477	2KDK_A	fpocket1	0.696	4.4984	25
10934	Q8WYA6_PF08216_57_534	4MFU_A	fpocket42	0.0	15.8404	19
10935	Q8WYA6_PF08216_57_534	4MFU_A	fpocket3	0.123	11.3375	16
10936	Q8WYB5_PF00628_271_320	5U2J_A	fpocket2	0.002	4.1443	20
10937	Q8WYB5_PF00628_271_320	5U2J_A	fpocket3	0.113	1.0504	17
10938	Q8WYK0_PF03061_197_274	4MOB_A	fpocket5	0.297	16.454	18
10939	Q8WYK0_PF03061_197_274	4MOB_A	fpocket7	0.026	9.7376	14
10940	Q8WYK0_PF03061_24_100	4MOB_A	fpocket6	0.02	16.2326	20
10941	Q8WYK0_PF03061_24_100	4MOB_A	fpocket3	0.173	4.9115	16
10942	Q8WYQ5_PF00035_512_576	2YT4_A	fpocket4	0.025	2.9768	11
10943	Q8WYQ5_PF00035_512_576	2YT4_A	fpocket1	0.11	2.965	16
10944	Q8WYQ5_PF00035_620_684	2YT4_A	fpocket2	0.002	3.76	13
10945	Q8WYQ5_PF00035_620_684	2YT4_A	fpocket1	0.427	1.2909	21
10946	Q8WZ19_PF02214_43_133	4UIJ_A	fpocket1	0.0	4.6033	14
10947	Q8WZ19_PF02214_43_133	4UIJ_A	fpocket2	0.249	3.4258	12
10948	Q8WZ42_PF00041_14220_14305	4O00_A	fpocket2	0.0	5.3957	22
10949	Q8WZ42_PF00041_14220_14305	4O00_A	fpocket4	0.0	3.4562	9
10950	Q8WZ42_PF00041_22285_22371	1BPV_A	fpocket4	0.005	4.712	12
10951	Q8WZ42_PF00041_22285_22371	1BPV_A	fpocket2	0.009	1.2331	11
10952	Q8WZ42_PF00041_22880_22964	3LPW_A	fpocket1	0.003	4.5536	23
10953	Q8WZ42_PF00041_22880_22964	3LPW_A	fpocket2	0.173	2.8481	18
10954	Q8WZ42_PF00041_22977_23060	3LPW_A	fpocket1	0.0	4.5969	21
10955	Q8WZ42_PF00041_22977_23060	3LPW_A	fpocket2	0.01	2.0703	14
10956	Q8WZ42_PF00041_32050_32133	6YGN_A	fpocket1	0.665	3.9543	15
10957	Q8WZ42_PF00041_32050_32133	6YGN_A	fpocket2	0.001	2.9133	22
10958	Q8WZ42_PF00069_32178_32432	1TKI_A	fpocket12	0.627	13.9049	17
10959	Q8WZ42_PF00069_32178_32432	1TKI_A	fpocket8	0.031	8.2367	19
10960	Q8WZ42_PF07679_104_193	2A38_C	fpocket4	0.0	7.4113	11
10961	Q8WZ42_PF07679_104_193	2A38_C	fpocket1	0.0	2.559	13
10962	Q8WZ42_PF07679_1841_1929	6DL4_A	fpocket1	0.667	14.5944	21
10963	Q8WZ42_PF07679_1841_1929	6DL4_A	fpocket10	0.007	6.149	28
10964	Q8WZ42_PF07679_2078_2168	1G1C_A	fpocket1	0.0	5.2707	13
10965	Q8WZ42_PF07679_2078_2168	1G1C_A	fpocket2	0.02	1.2377	15
10966	Q8WZ42_PF07679_2795_2879	5JDD_A	fpocket2	0.293	3.1084	14
10967	Q8WZ42_PF07679_2795_2879	5JDD_A	fpocket1	0.324	2.9636	14
10968	Q8WZ42_PF07679_2882_2967	5JDD_A	fpocket1	0.037	0.9836	15
10969	Q8WZ42_PF07679_2882_2967	5JDD_A	fpocket2	0.425	0.3468	13
10970	Q8WZ42_PF07679_2969_3054	5JDD_A	fpocket4	0.488	2.8274	14
10971	Q8WZ42_PF07679_2969_3054	5JDD_A	fpocket2	0.003	1.9216	14
10972	Q8WZ42_PF07679_31460_31549	3LCY_A	fpocket1	0.008	4.1362	13
10973	Q8WZ42_PF07679_31460_31549	3LCY_A	fpocket3	0.048	1.5777	17
10974	Q8WZ42_PF07679_31562_31646	3LCY_A	fpocket1	0.023	4.1378	19
10975	Q8WZ42_PF07679_31562_31646	3LCY_A	fpocket2	0.001	2.6804	16
10976	Q8WZ42_PF07679_31855_31946	2J8H_A	fpocket4	0.003	5.3812	14
10977	Q8WZ42_PF07679_31855_31946	2J8H_A	fpocket3	0.0	2.3896	9
10978	Q8WZ42_PF07679_31955_32045	2J8H_A	fpocket7	0.108	5.6573	19
10979	Q8WZ42_PF07679_31955_32045	2J8H_A	fpocket3	0.039	4.204	17
10980	Q8WZ42_PF07679_32496_32585	2BK8_A	fpocket2	0.067	1.4712	13
10981	Q8WZ42_PF07679_32496_32585	2BK8_A	fpocket1	0.056	1.4059	21
10982	Q8WZ42_PF07679_32722_32812	6HCI_A	fpocket1	0.194	4.2335	16
10983	Q8WZ42_PF07679_32722_32812	6HCI_A	fpocket4	0.0	2.4529	14
10984	Q8WZ42_PF07679_33301_33390	6H4L_A	fpocket5	0.097	5.0842	19
10985	Q8WZ42_PF07679_33301_33390	6H4L_A	fpocket2	0.0	4.3564	12
10986	Q8WZ42_PF07679_33488_33577	1NCT_A	fpocket5	0.003	2.1305	14
10987	Q8WZ42_PF07679_33488_33577	1NCT_A	fpocket2	0.117	2.0811	13
10988	Q8WZ42_PF07679_33779_33868	3PUC_A	fpocket3	0.052	1.6625	13
10989	Q8WZ42_PF07679_33779_33868	3PUC_A	fpocket4	0.0	1.313	13
10990	Q8WZ42_PF07679_34061_34150	4UOW_7	fpocket1	0.169	2.3513	15
10991	Q8WZ42_PF07679_34061_34150	4UOW_7	fpocket2	0.024	1.4047	15
10992	Q8WZ42_PF07679_34256_34347	3KNB_A	fpocket1	0.107	3.8139	20
10993	Q8WZ42_PF07679_6_97	2A38_C	fpocket2	0.123	5.3889	16
10994	Q8WZ42_PF07679_6_97	2A38_C	fpocket1	0.001	1.4352	10
10995	Q8WZ42_PF07679_9583_9669	5JOE_A	fpocket2	0.041	2.5484	17
10996	Q8WZ42_PF07679_9583_9669	5JOE_A	fpocket1	0.0	1.0576	12
10997	Q8WZ42_PF07679_9672_9757	7AHS_A	fpocket2	0.001	0.6748	16
10998	Q8WZ42_PF07679_9672_9757	7AHS_A	fpocket1	0.0	0.4108	9
10999	Q8WZ42_PF07679_9761_9850	7AHS_A	fpocket2	0.01	1.5738	18
11000	Q8WZ42_PF07679_9761_9850	7AHS_A	fpocket1	0.059	1.4367	13
11001	Q8WZ42_PF18362_9505_9537	7NIP_A	fpocket1	0.007	0.5055	13
11002	Q8WZ64_PF00169_483_574	2COD_A	fpocket3	0.001	7.822	15
11003	Q8WZ64_PF00169_483_574	2COD_A	fpocket8	0.002	2.577	11
11004	Q8WZ64_PF00536_8_67	1X40_A	fpocket3	0.018	2.9652	13
11005	Q8WZ64_PF00536_8_67	1X40_A	fpocket1	0.11	2.6314	14
11006	Q8WZA1_PF15711_129_218	5GGN_A	fpocket1	0.34	1.5316	16
11007	Q8WZA1_PF15711_129_218	5GGN_A	fpocket2	0.282	1.255	13
11008	Q92484_PF00149_38_297	5EBB_C	fpocket19	0.0	9.035	15
11009	Q92484_PF00149_38_297	5EBB_C	fpocket11	0.037	3.9782	14
11010	Q92506_PF13561_18_260	2PD6_D	fpocket2	0.149	38.4297	20
11011	Q92506_PF13561_18_260	2PD6_D	fpocket13	0.414	27.1414	21
11012	Q92520_PF15711_102_190	5LC2_A	fpocket1	0.988	6.2061	16
11013	Q92520_PF15711_102_190	5LC2_A	fpocket6	0.0	3.5271	14
11014	Q92522_PF00538_45_117	6L9Z_S	fpocket2	0.1	3.9773	15
11015	Q92522_PF00538_45_117	6L9Z_S	fpocket1	0.172	1.4117	17
11016	Q92541_PF03126_358_460	3U1U_A	fpocket3	0.001	4.0215	15
11017	Q92541_PF03126_358_460	3U1U_A	fpocket9	0.016	3.0535	11
11018	Q92542_PF18266_49_223	6IYC_A	fpocket7	0.01	8.7647	19
11019	Q92542_PF18266_49_223	6IYC_A	fpocket2	0.0	7.559	16
11020	Q92556_PF16457_548_674	2VSZ_A	fpocket3	0.003	6.1659	12
11021	Q92556_PF16457_548_674	2VSZ_A	fpocket1	0.24	3.3305	15
11022	Q92575_PF00789_314_395	2KXJ_A	fpocket1	0.536	8.2811	26
11023	Q92575_PF00789_314_395	2KXJ_A	fpocket6	0.0	2.8829	16
11024	Q92576_PF07500_923_1038	2DME_A	fpocket1	0.0	5.9972	14
11025	Q92576_PF07500_923_1038	2DME_A	fpocket3	0.074	2.4771	11
11026	Q92576_PF07744_1199_1349	6IC9_A	fpocket6	0.0	3.1446	7
11027	Q92576_PF07744_1199_1349	6IC9_A	fpocket2	0.016	2.8896	14
11028	Q92583_PF00048_31_88	1NR4_B	fpocket1	0.539	3.6466	19
11029	Q92583_PF00048_31_88	1NR4_B	fpocket2	0.017	2.7647	20
11030	Q92585_PF09596_14_71	2F8X_M	fpocket2	0.183	1.7387	11
11031	Q92585_PF09596_14_71	2F8X_M	fpocket5	0.001	1.6359	10
11032	Q92597_PF03096_34_316	6ZMM_A	fpocket15	0.01	10.4902	14
11033	Q92597_PF03096_34_316	6ZMM_A	fpocket10	0.0	9.1252	19
11034	Q92599_PF00735_41_314	6UPR_B	fpocket6	0.002	17.8822	21
11035	Q92599_PF00735_41_314	6UPR_B	fpocket7	0.001	6.7421	21
11036	Q92608_PF07653_12_66	3A98_A	fpocket2	0.02	2.9792	16
11037	Q92608_PF07653_12_66	3A98_A	fpocket1	0.001	2.2653	12
11038	Q92608_PF14429_419_616	6TGC_A	fpocket12	0.28	24.5569	15
11039	Q92608_PF14429_419_616	6TGC_A	fpocket1	0.991	21.5956	25
11040	Q92622_PF13901_737_937	6WCW_A	fpocket6	0.001	5.9406	17
11041	Q92622_PF13901_737_937	6WCW_A	fpocket7	0.0	3.7571	15
11042	Q92625_PF00536_696_760	2LMR_A	fpocket4	0.064	7.1235	16
11043	Q92625_PF00536_696_760	2LMR_A	fpocket1	0.001	2.4142	13
11044	Q92630_PF00069_222_535	5LXC_A	fpocket23	0.003	22.4965	19
11045	Q92630_PF00069_222_535	5LXC_A	fpocket6	0.006	17.1385	20
11046	Q92673_PF00041_1652_1735	2DM4_A	fpocket2	0.225	3.5323	12
11047	Q92673_PF00041_1652_1735	2DM4_A	fpocket1	0.451	2.6388	16
11048	Q92673_PF15901_588_752	3WSY_A	fpocket6	0.412	6.0077	21
11049	Q92673_PF15901_588_752	3WSY_A	fpocket1	0.003	4.7024	16
11050	Q92692_PF07686_37_159	3R0N_A	fpocket1	0.013	3.7053	13
11051	Q92692_PF07686_37_159	3R0N_A	fpocket8	0.0	2.8109	16
11052	Q92729_PF00102_913_1143	6SUB_A	fpocket5	0.162	11.4203	16
11053	Q92729_PF00102_913_1143	6SUB_A	fpocket3	0.13	7.3308	20
11054	Q92730_PF00071_15_188	3Q3J_B	fpocket1	0.309	27.1465	23
11055	Q92730_PF00071_15_188	3Q3J_B	fpocket6	0.046	3.4361	20
11056	Q92731_PF00104_283_482	3OLL_A	fpocket1	0.795	28.1741	22
11057	Q92731_PF00104_283_482	3OLL_A	fpocket3	0.005	9.4859	19
11058	Q92736_PF02815_226_406	4JKQ_A	fpocket5	0.004	6.5948	11
11059	Q92736_PF02815_226_406	4JKQ_A	fpocket1	0.162	3.7683	16
11060	Q92736_PF08709_9_223	4JKQ_A	fpocket7	0.583	5.9085	17
11061	Q92736_PF08709_9_223	4JKQ_A	fpocket1	0.0	5.8108	15
11062	Q92743_PF00219_37_89	3TJQ_A	fpocket1	0.358	3.2918	15
11063	Q92743_PF00219_37_89	3TJQ_A	fpocket2	0.029	3.2603	17
11064	Q92743_PF07648_108_155	3TJQ_A	fpocket1	0.145	1.6763	13
11065	Q92743_PF07648_108_155	3TJQ_A	fpocket2	0.367	1.3716	11
11066	Q92743_PF13365_204_342	3NZI_A	fpocket1	0.059	18.6008	25
11067	Q92743_PF13365_204_342	3NZI_A	fpocket2	0.008	9.0102	24
11068	Q92743_PF17820_413_464	2JOA_A	fpocket3	0.316	5.5016	17
11069	Q92743_PF17820_413_464	2JOA_A	fpocket1	0.532	4.6392	24
11070	Q92759_PF18307_389_456	7NVV_2	fpocket1	0.257	9.3978	16
11071	Q92759_PF18307_389_456	7NVV_2	fpocket3	0.001	1.0876	5
11072	Q92769_PF00850_29_320	7KBG_C	fpocket1	0.302	25.4466	24
11073	Q92769_PF00850_29_320	7KBG_C	fpocket27	0.162	18.3335	17
11074	Q92772_PF00069_4_287	4AAA_A	fpocket2	0.728	40.5224	20
11075	Q92772_PF00069_4_287	4AAA_A	fpocket20	0.001	7.9776	13
11076	Q92783_PF00018_216_261	2L0A_A	fpocket1	0.39	7.8349	16
11077	Q92783_PF00018_216_261	2L0A_A	fpocket3	0.0	2.6614	11
11078	Q92783_PF00790_5_139	3LDZ_A	fpocket2	0.168	3.9243	19
11079	Q92783_PF00790_5_139	3LDZ_A	fpocket7	0.001	3.4502	20
11080	Q92784_PF00628_261_319	5SZC_A	fpocket2	0.492	11.1672	17
11081	Q92784_PF00628_261_319	5SZC_A	fpocket1	0.066	8.6995	15
11082	Q92784_PF00628_318_366	5SZC_A	fpocket2	0.278	4.6882	13
11083	Q92784_PF00628_318_366	5SZC_A	fpocket1	0.057	2.7297	15
11084	Q92785_PF00628_272_330	5VDC_A	fpocket2	0.74	3.8405	16
11085	Q92785_PF00628_272_330	5VDC_A	fpocket1	0.0	2.3372	8
11086	Q92785_PF00628_329_376	5VDC_A	fpocket1	0.868	4.8921	16
11087	Q92786_PF05044_579_732	2LMD_A	fpocket1	0.123	13.4091	17
11088	Q92786_PF05044_579_732	2LMD_A	fpocket2	0.942	5.4248	25
11089	Q92793_PF00439_1094_1180	5J0D_A	fpocket3	0.523	12.2127	21
11090	Q92793_PF00439_1094_1180	5J0D_A	fpocket8	0.008	3.6325	15
11091	Q92793_PF00569_1701_1742	2N1A_B	fpocket2	0.283	1.867	8
11092	Q92793_PF00569_1701_1742	2N1A_B	fpocket1	0.0	1.0396	11
11093	Q92793_PF02172_587_667	5SVH_A	fpocket3	0.692	4.5891	14
11094	Q92793_PF02172_587_667	5SVH_A	fpocket1	0.197	2.0505	14
11095	Q92793_PF06001_1192_1231	5I8G_A	fpocket2	0.093	3.9627	14
11096	Q92793_PF06001_1192_1231	5I8G_A	fpocket1	0.0	1.6814	10
11097	Q92794_PF00628_208_265	5B78_A	fpocket1	0.857	13.0277	18
11098	Q92794_PF00628_208_265	5B78_A	fpocket3	0.0	1.3742	11
11099	Q92794_PF00628_264_313	5B78_A	fpocket1	0.0	4.1206	12
11100	Q92794_PF17772_506_560	2OZU_A	fpocket1	0.0	0.5035	13
11101	Q92796_PF00595_131_215	2I1N_A	fpocket3	0.008	0.9416	15
11102	Q92796_PF00595_131_215	2I1N_A	fpocket2	0.025	0.3564	15
11103	Q92796_PF00595_226_310	2FE5_A	fpocket1	0.086	15.7445	13
11104	Q92796_PF00595_226_310	2FE5_A	fpocket2	0.45	3.5336	17
11105	Q92796_PF00595_386_464	1UM7_A	fpocket2	0.002	5.1422	18
11106	Q92796_PF00595_386_464	1UM7_A	fpocket4	0.0	3.8493	17
11107	Q92797_PF11935_122_349	3ODS_A	fpocket1	0.001	13.7824	21
11108	Q92797_PF11935_122_349	3ODS_A	fpocket11	0.001	6.2597	22
11109	Q92800_PF18264_560_591	7KSO_A	fpocket1	0.149	2.0055	16
11110	Q92800_PF18264_560_591	7KSO_A	fpocket2	0.103	0.9824	16
11111	Q92804_PF00076_236_314	2MMY_A	fpocket2	0.023	9.2809	19
11112	Q92804_PF00076_236_314	2MMY_A	fpocket3	0.0	8.141	13
11113	Q92820_PF07722_34_246	1L9X_A	fpocket3	0.174	14.7159	15
11114	Q92820_PF07722_34_246	1L9X_A	fpocket4	0.007	7.0017	14
11115	Q92823_PF00041_648_733	1UEY_A	fpocket2	0.029	4.2251	16
11116	Q92823_PF00041_648_733	1UEY_A	fpocket5	0.047	3.3644	15
11117	Q92823_PF00041_847_940	1UEN_A	fpocket1	0.696	5.912	23
11118	Q92823_PF00041_847_940	1UEN_A	fpocket3	0.001	3.4506	9
11119	Q92826_PF00046_217_273	5EEA_A	fpocket1	0.206	5.5282	12
11120	Q92830_PF00439_737_820	6J3P_A	fpocket1	0.461	15.564	22
11121	Q92830_PF00439_737_820	6J3P_A	fpocket2	0.079	6.0868	21
11122	Q92831_PF00439_732_815	5MKX_A	fpocket1	0.794	14.9468	20
11123	Q92831_PF00439_732_815	5MKX_A	fpocket2	0.035	3.6567	21
11124	Q92832_PF07645_434_474	6POL_F	fpocket1	0.496	3.7021	11
11125	Q92835_PF00017_5_86	2YSX_A	fpocket7	0.137	5.3824	13
11126	Q92835_PF00017_5_86	2YSX_A	fpocket6	0.002	2.7621	13
11127	Q92835_PF03372_409_701	5RWW_A	fpocket10	0.173	24.6998	19
11128	Q92835_PF03372_409_701	5RWW_A	fpocket3	0.001	23.3466	22
11129	Q92838_PF00229_272_385	1RJ8_G	fpocket7	0.011	4.6009	16
11130	Q92838_PF00229_272_385	1RJ8_G	fpocket1	0.34	4.5937	18
11131	Q92841_PF00270_195_366	6UV3_A	fpocket14	0.0	15.619	19
11132	Q92841_PF00270_195_366	6UV3_A	fpocket2	0.001	6.8987	14
11133	Q92841_PF00271_401_513	6UV3_A	fpocket1	0.669	1.8514	14
11134	Q92841_PF00271_401_513	6UV3_A	fpocket6	0.001	1.4186	18
11135	Q92854_PF00047_561_639	1OLZ_A	fpocket4	0.37	12.8691	20
11136	Q92854_PF00047_561_639	1OLZ_A	fpocket2	0.001	5.8952	11
11137	Q92859_PF00041_440_525	1X5F_A	fpocket1	0.0	3.5944	13
11138	Q92859_PF00041_440_525	1X5F_A	fpocket2	0.156	1.44	15
11139	Q92859_PF00041_540_621	1X5G_A	fpocket1	0.014	3.1722	15
11140	Q92859_PF00041_540_621	1X5G_A	fpocket3	0.491	1.5148	12
11141	Q92859_PF00041_635_721	1X5H_A	fpocket1	0.175	3.2549	21
11142	Q92859_PF00041_635_721	1X5H_A	fpocket3	0.096	2.397	15
11143	Q92859_PF00041_740_820	1X5I_A	fpocket3	0.005	12.0515	18
11144	Q92859_PF00041_740_820	1X5I_A	fpocket4	0.001	3.0878	13
11145	Q92859_PF00041_855_942	3P4L_A	fpocket2	0.03	4.1296	17
11146	Q92859_PF00041_855_942	3P4L_A	fpocket3	0.397	3.1137	15
11147	Q92859_PF00041_956_1044	3P4L_A	fpocket1	0.001	7.1546	21
11148	Q92859_PF00041_956_1044	3P4L_A	fpocket4	0.006	3.7741	10
11149	Q92876_PF00089_22_237	1LO6_A	fpocket9	0.779	8.7483	21
11150	Q92876_PF00089_22_237	1LO6_A	fpocket8	0.0	5.8456	17
11151	Q92879_PF00076_110_178	3NMR_A	fpocket1	0.013	10.3388	16
11152	Q92879_PF00076_110_178	3NMR_A	fpocket2	0.094	6.9841	19
11153	Q92879_PF00076_18_88	3NMR_A	fpocket1	0.766	12.3998	18
11154	Q92879_PF00076_18_88	3NMR_A	fpocket2	0.002	3.4068	12
11155	Q92879_PF00076_403_473	2RQC_A	fpocket1	0.0	4.0247	12
11156	Q92879_PF00076_403_473	2RQC_A	fpocket5	0.012	2.473	10
11157	Q92882_PF00018_18_63	1ZLM_A	fpocket1	0.707	2.9603	16
11158	Q92882_PF00018_18_63	1ZLM_A	fpocket2	0.005	0.8677	10
11159	Q92888_PF00621_420_603	3P6A_A	fpocket1	0.092	4.6057	16
11160	Q92888_PF00621_420_603	3P6A_A	fpocket11	0.013	3.2311	18
11161	Q92888_PF09128_42_232	1IAP_A	fpocket1	0.02	9.3696	17
11162	Q92888_PF09128_42_232	1IAP_A	fpocket10	0.198	6.2743	18
11163	Q92888_PF17838_632_760	3ODO_A	fpocket3	0.071	5.8949	14
11164	Q92888_PF17838_632_760	3ODO_A	fpocket1	0.04	1.3175	14
11165	Q92889_PF02732_686_816	6SXA_F	fpocket1	0.001	4.1794	15
11166	Q92889_PF02732_686_816	6SXA_F	fpocket4	0.002	3.7793	14
11167	Q92900_PF09416_121_272	2WJV_A	fpocket1	0.033	4.4453	15
11168	Q92900_PF09416_121_272	2WJV_A	fpocket3	0.628	4.3566	19
11169	Q92900_PF13086_481_605	2XZO_A	fpocket6	0.005	10.8397	13
11170	Q92900_PF13086_481_605	2XZO_A	fpocket3	0.929	9.424	16
11171	Q92900_PF13086_576_684	2XZO_A	fpocket3	0.448	15.1017	20
11172	Q92900_PF13086_576_684	2XZO_A	fpocket7	0.0	3.3448	15
11173	Q92900_PF13087_691_888	2XZO_A	fpocket6	0.097	10.325	25
11174	Q92900_PF13087_691_888	2XZO_A	fpocket2	0.863	8.2778	16
11175	Q92900_PF18141_324_425	2XZO_A	fpocket3	0.007	2.5463	10
11176	Q92900_PF18141_324_425	2XZO_A	fpocket7	0.001	1.8488	12
11177	Q92905_PF18323_251_329	6R7F_E	fpocket9	0.0	3.4061	14
11178	Q92905_PF18323_251_329	6R7F_E	fpocket7	0.001	3.1741	14
11179	Q92913_PF00167_69_195	3HBW_A	fpocket1	0.082	13.887	16
11180	Q92913_PF00167_69_195	3HBW_A	fpocket2	0.336	2.4822	13
11181	Q92918_PF00069_17_274	7R9N_A	fpocket18	0.111	22.9561	18
11182	Q92918_PF00069_17_274	7R9N_A	fpocket1	0.39	9.6573	16
11183	Q92922_PF00249_620_665	2YUS_A	fpocket1	0.0	1.8888	11
11184	Q92922_PF00249_620_665	2YUS_A	fpocket2	0.215	1.5534	10
11185	Q92922_PF04433_452_537	5GJK_A	fpocket1	0.0	1.8564	14
11186	Q92922_PF04433_452_537	5GJK_A	fpocket5	0.033	1.3184	13
11187	Q92932_PF00102_770_1004	2QEP_A	fpocket9	0.003	10.0817	21
11188	Q92932_PF00102_770_1004	2QEP_A	fpocket1	0.002	8.7819	17
11189	Q92945_PF00013_146_210	2OPU_A	fpocket5	0.0	2.9693	16
11190	Q92945_PF00013_146_210	2OPU_A	fpocket3	0.021	2.57	15
11191	Q92945_PF00013_235_301	2JVZ_A	fpocket3	0.035	1.4475	23
11192	Q92945_PF00013_235_301	2JVZ_A	fpocket4	0.027	1.2127	19
11193	Q92945_PF00013_324_388	4B8T_A	fpocket1	0.004	0.799	15
11194	Q92945_PF00013_324_388	4B8T_A	fpocket2	0.016	0.7687	11
11195	Q92945_PF00013_426_493	2HH2_A	fpocket1	0.037	2.519	20
11196	Q92945_PF00013_426_493	2HH2_A	fpocket4	0.005	2.4773	15
11197	Q92947_PF00441_287_429	1SIQ_A	fpocket8	0.003	6.4663	17
11198	Q92947_PF00441_287_429	1SIQ_A	fpocket4	0.0	4.2371	15
11199	Q92947_PF02770_176_269	1SIQ_A	fpocket3	0.303	3.924	11
11200	Q92947_PF02770_176_269	1SIQ_A	fpocket1	0.0	2.699	15
11201	Q92947_PF02771_61_172	1SIQ_A	fpocket1	0.322	7.6285	15
11202	Q92947_PF02771_61_172	1SIQ_A	fpocket4	0.003	4.9446	23
11203	Q92956_PF00020_78_119	5T2Q_A	fpocket1	0.212	1.2983	11
11204	Q92963_PF00071_23_184	4KLZ_A	fpocket1	0.133	34.1273	19
11205	Q92963_PF00071_23_184	4KLZ_A	fpocket9	0.0	2.3666	12
